rotulo;distancia_media;paradas_impactadas;porcentagem_impactadas;num_paradas;paradas_afetadas
302110;	1.623;	1.0;0.19;67;	13
314110;	1.079;	2.2;0.29;127;	37
314J10;	1.337;	1.6;0.19;141; 27
339010;	1.079;	2.2;0.26;143;	37
422110;	1.390;	1.3;0.1;117;	12
422210;	1.301;	1.7;0.25;106;	26
425E10;	1.101;	2.2;0.76;37;	28
428810;	1.305;	1.1;0.14;143;	20
502610;	1.315;	1.8;1;33;
511010;	1.070;	2.2;0.44;84;	37
511011;	1.063;	2.2;0.44;43;	19
511012;	1.205;	2.2;0.35;37;	13
511013;	1.231;	1.0;0.17;29;	5
511014;	1.066;	2.2;0.49;73;	36
511011;	1.066;	2.2;0.43;83;	36
514110;	1.212;	1.7;0.16;116;	19
514210;	1.355;	1.5;0.36;145; 52
514310;	1.199;	1.7;0.19;93;	18
514311;	1.248;	1.8;0.22;41;	9
514410;	1.213;	1.7;0.14;134;	19
514510;	1.505;	2.1;0.11;138;	15
514511;	1.579;	2.1;0.11;135;	15
519M10;	1.092;	2.1;0.32;120;	38
N50111;	1.075;	2.2;0.32;111;	36
N50311;	1.084;	2.2;0.3;125;	37
N53111;	1.369;	1.7;0.41;108;	44
N53211;	1.476;	2.3;0.57;28;	16
N53311;	1.277;	1.5;0.33;120;	39
N54011;	1.300;	1.7;1;18;	18
